numords,totdol,last,buyer,dollars,rfm1,rfm2
7,493,207,no,0,222,211
4,423,625,no,0,421,422
4,246,28,no,0,134,122
3,271,778,no,0,523,532
2,148,396,no,0,343,343
10,937,6,no,0,121,111
7,562,38,no,0,123,111
1,156,759,no,0,552,553
1,59,604,no,0,454,455
1,34,7,no,0,155,155
6,627,71,no,0,122,111
5,379,568,no,0,414,422
2,75,505,no,0,345,344
1,44,101,no,0,154,155
14,386,620,no,0,414,412
10,404,312,no,0,215,212
2,114,1094,no,0,534,544
11,756,22,no,0,114,111
1,104,366,no,0,352,354
22,1282,15,no,0,113,111
6,259,213,no,0,224,212
6,425,235,no,0,222,212
2,118,709,no,0,434,444
1,29,919,no,0,555,555
3,198,602,no,0,424,433
1,39,426,no,0,354,355
1,204,417,no,0,351,353
8,432,102,no,0,124,112
2,164,785,no,0,533,543
7,439,197,no,0,222,212
1,89,757,no,0,553,554
1,99,725,no,0,453,454
1,35,616,no,0,455,455
1,119,486,no,0,352,354
2,113,354,no,0,344,344
1,17,114,no,0,155,155
1,109,18,no,0,152,154
8,257,456,no,0,315,312
25,1782,353,no,0,311,311
4,424,626,no,0,421,422
3,777,723,no,0,421,431
1,299,11,no,0,151,152
2,78,602,no,0,435,444
3,223,28,no,0,142,133
1,121,142,no,0,252,254
9,451,127,no,0,123,111
10,333,23,no,0,125,112
2,158,352,no,0,343,343
30,2462,64,no,0,111,111
15,717,39,no,0,114,111
16,1110,8,no,0,113,111
1,120,1096,no,0,552,554
2,218,591,no,0,432,443
4,317,367,no,0,323,322
1,99,169,no,0,252,254
25,1594,23,no,0,112,111
5,405,21,no,0,132,122
3,190,1099,no,0,524,533
6,370,855,no,0,514,512
18,899,15,no,0,114,111
1,79,991,no,0,553,554
2,337,837,no,0,531,542
1,129,752,no,0,552,554
4,278,368,no,0,324,322
1,149,438,no,0,351,353
2,128,378,no,0,344,344
1,75,737,no,0,453,454
1,58,351,no,0,354,355
2,78,270,no,0,245,244
1,49,36,no,0,154,155
15,707,485,no,0,313,311
2,78,1029,no,0,535,544
4,236,98,no,0,134,123
19,1263,577,no,0,411,411
3,187,28,no,0,143,133
3,210,659,no,0,424,433
1,49,983,no,0,554,555
2,73,450,no,0,345,345
1,17,847,no,0,555,555
1,139,193,no,0,252,254
5,520,373,no,0,321,321
2,118,955,no,0,534,544
2,51,660,no,0,435,445
1,488,1093,no,0,551,551
1,161,485,no,0,351,353
1,139,51,no,0,152,154
15,993,20,no,0,114,111
35,3422,1,no,0,111,111
1,109,184,no,0,252,254
1,39,431,no,0,354,355
2,128,368,no,0,344,344
1,99,93,no,0,153,154
4,574,1011,no,0,521,521
11,543,168,no,0,214,211
27,874,7,no,0,114,111
2,238,135,no,0,142,143
2,78,9,no,0,145,144
1,159,988,no,0,552,553
1,199,401,no,0,351,353
8,959,172,no,0,213,211
1,59,905,no,0,554,555
1,15,95,yes,20,155,155
2,120,10,no,0,144,144
8,556,309,yes,86,214,211
2,58,415,no,0,345,345
1,29,599,no,0,455,455
3,154,67,no,0,144,133
1,99,493,no,0,352,354
6,262,249,no,0,224,212
5,687,49,no,0,131,121
5,148,11,no,0,135,123
9,1103,85,no,0,121,111
3,132,1022,no,0,525,534
5,510,1113,no,0,513,521
4,303,604,no,0,422,422
2,273,1012,no,0,531,542
1,139,389,no,0,352,354
1,152,835,no,0,552,553
3,113,66,no,0,144,134
2,98,430,no,0,344,344
1,19,371,no,0,355,355
1,216,483,no,0,351,353
42,2851,210,no,0,211,211
14,625,93,no,0,115,111
49,4212,17,no,0,111,111
4,152,371,no,0,325,323
2,83,492,no,0,345,344
1,32,395,no,0,355,355
1,119,247,no,0,252,254
4,236,528,no,0,423,423
2,83,1115,no,0,535,544
6,339,345,no,0,223,212
42,1689,74,no,0,112,111
4,208,497,no,0,324,323
17,381,11,no,0,115,112
8,729,24,no,0,122,111
2,238,921,no,0,532,543
1,279,1101,no,0,551,552
2,216,735,no,0,432,443
6,479,25,no,0,123,111
1,49,934,no,0,554,555
8,1229,108,no,0,121,111
1,86,749,no,0,553,554
1,199,746,no,0,451,453
2,298,59,no,0,142,142
1,114,661,no,0,452,454
1,53,310,no,0,254,255
2,188,261,no,0,242,243
1,159,157,no,0,251,253
17,732,149,no,0,213,211
7,524,690,no,0,413,411
8,940,32,no,0,121,111
2,474,1089,no,0,531,541
1,19,1089,no,0,555,555
4,719,114,no,0,131,121
1,12,193,no,0,255,255
47,1049,38,no,0,113,111
27,3326,193,no,0,211,211
15,1194,1017,no,0,511,511
8,340,287,no,0,215,212
16,654,95,no,0,115,111
3,252,67,no,0,142,132
3,241,185,no,0,233,232
